G Suite,CSUS,18324,12909,0.131099999,YES,https://gsuite.google.com/,4,0,3600,SESSION_60D≥500,C
Sky Zone,CSUS,90431,10797,46.41579989,YES,http://www.skyzone.com/,4,0,18100,REVENUE_60D≥10&SESSION_60D≥50,C
Roblox,CSUS,100238,7827,39.6100007,YES,http://www.roblox.com,4,2,60500,SESSION_60D≥300&AFF=Yes,A
hismileteeth,CSAU,30311,7465,,YES,http://hismileteeth.com,2,0,40,SESSION_60D≥500,C
kylie cosmetics,CSAU,29963,7310,,YES,https://www.kyliecosmetics.com/,3,0,390,SESSION_60D≥500,C
JB HI-FI,CSAU,7066,6204,,YES,http://www.jbhifi.com.au/,2,0,1600,SESSION_60D≥500,C
Buds Gun Shop,CSUS,28529,5284,,YES,http://www.budsgunshop.com/,3,0,,SESSION_60D≥500,C
Papa Johns,CSUS,7094,4941,3.069000006,YES,http://www.papajohns.com/,4,0,550000,SESSION_60D≥500,C
Rockin Jump,CSUS,147818,4715,23.59000045,YES,https://rockinjump.com/,3,0,3600,REVENUE_60D≥10&SESSION_60D≥50,C
Oculus VR,CSUS,36987,4561,,YES,http://www.oculus.com/,3,0,20,SESSION_60D≥500,C
Lokai,CSUS,36940,3980,,YES,https://lokai.com/store,3,0,1300,SESSION_60D≥500,C
SkyBus,CSAU,32597,3736,,YES,https://www.skybus.com.au/,2,0,1900,SESSION_60D≥500,C
Morphe Brushes,CSUS,32670,3731,,YES,http://www.morphebrushes.com/,4,0,1000,SESSION_60D≥500,C
Noom,CSUS,51671,3714,,YES,https://www.noom.com/,5,0,720,SESSION_60D≥500,C
Spirit Airlines,CSUS,10496,3605,,YES,https://www.spirit.com,3,0,14800,SESSION_60D≥500,C
DECIEM,CSUS,112067,3587,129.5427979,YES,http://deciem.com/,5,2,5400,REVENUE_60D≥100,A
Zenni Optical,CSUS,8568,3551,223.5199982,YES,http://www.zennioptical.com/,4,4,33100,REVENUE_60D≥100,A
VICE Golf,CSUK,43310,3343,,YES,http://www.vicegolf.com/uk/,3,0,110,SESSION_60D≥500,C
Nokia Health,CSUS,29524,3213,5757.460005,YES,https://health.nokia.com/us/en/,3,3,110,REVENUE_60D≥100,A
The Weeknd,CSUS,141401,3197,,YES,https://www.theweeknd.com/,3,0,210,SESSION_60D≥500,C
Drybar,CSUS,79493,3191,7,YES,http://www.thedrybar.com,3,0,4400,SESSION_60D≥500,C
Hogle Zoo,CSUS,70193,3162,,YES,http://www.hoglezoo.org,3,0,1000,SESSION_60D≥500,C
Paul Valentine,CSUS,146696,3150,,YES,https://paul-valentine.com/,3,0,20,SESSION_60D≥500,C
Fly Scoot,CSUS,35435,3070,,YES,http://www.flyscoot.com/index.php/en/,4,0,10,SESSION_60D≥500,C
Silver Dollar City,CSUS,24807,2945,,YES,http://www.silverdollarcity.com/,3,0,1900,SESSION_60D≥500,C
WallyPark,CSUS,24244,2889,8.994999886,YES,http://www.wallypark.com,3,0,2400,SESSION_60D≥500,C
John's Incredible Pizza Co.,CSUS,25844,2843,,YES,http://johnspizza.com/,3,0,10,SESSION_60D≥500,C
NBA League Pass,CSUS,36640,2836,308.7867985,YES,http://www.nba.com/leaguepass/,5,4,390,REVENUE_60D≥100,A
Article.com,CSUS,35519,2819,,YES,https://www.article.com/,3,0,140,SESSION_60D≥500,C
Wanderer Bracelets,CSUS,123914,2764,,YES,https://www.wandererbracelets.com/,3,0,390,SESSION_60D≥500,C
Makeup Forever,CSUS,137741,2721,,YES,http://www.makeupforever.com/us/en-us,3,0,390,SESSION_60D≥500,C
Pandora Radio,CSUS,17417,2714,,YES,https://www.pandora.com/,3,0,880,SESSION_60D≥500,C
The Lantern Fest,CSUS,124160,2708,13.06000006,YES,https://www.thelanternfest.com/home,3,0,590,REVENUE_60D≥10&SESSION_60D≥50,C
Theblacktux,CSUS,56567,2698,,YES,https://theblacktux.com/,3,0,1900,SESSION_60D≥500,C
Melbourne Airport,CSAU,14032,2686,,YES,http://melbourneairport.com.au/,2,0,720,SESSION_60D≥500,C
Asda Money,CSUK,1234,2671,58.60900116,YES,http://money.asda.com/,3,2,110,SESSION_60D≥300&AFF=Yes,A
Minnesota Zoo,CSUS,27049,2663,,YES,http://mnzoo.org/,3,0,480,SESSION_60D≥500,C
Slicelife.com,CSUS,79442,2646,,YES,http://slicelife.com/,3,0,50,SESSION_60D≥500,C
Texas State Aquarium,CSUS,33617,2628,,YES,http://www.texasstateaquarium.org/,3,0,1300,SESSION_60D≥500,C
ColourPop,CSUS,79964,2549,,YES,http://colourpop.com,6,0,14800,SESSION_60D≥500,C
Warframe,CSUS,25748,2517,4.660200119,YES,https://warframe.com/,4,4,8100,SESSION_60D≥300&AFF=Yes,A
Dollywood,CSUS,26598,2495,,YES,http://www.dollywood.com,3,0,2400,SESSION_60D≥500,C
Gravity Trampoline Park,CSUK,44858,2491,,YES,http://www.gravity-uk.com/,2,0,30,SESSION_60D≥500,C
Sarpinos Pizza,CSUS,35974,2484,,YES,http://www.gosarpinos.com/,3,0,480,SESSION_60D≥500,C
World of Coca-Cola,CSUS,26974,2401,,YES,http://www.worldofcoca-cola.com,3,0,480,SESSION_60D≥500,C
Womensbest,CSUS,132659,2375,,YES,https://us.womensbest.com/,4,1,30,SESSION_60D≥300&AFF=Yes,A
WOW air,CSUK,15634,2354,,YES,http://wowair.co.uk/,3,0,320,SESSION_60D≥500,C
Vape Society,CSUS,129614,2327,12.43000031,YES,http://vapesociety.com,3,0,,REVENUE_60D≥10&SESSION_60D≥50,C
Targetsportsusa,CSUS,125729,2321,,YES,https://www.targetsportsusa.com/,2,0,1000,SESSION_60D≥500,C
Key West Express,CSUS,32753,2243,,YES,https://www.keywestexpress.net/,3,0,1300,SESSION_60D≥500,C
Mimco,CSAU,7336,2240,,YES,http://www.mimco.com.au/,2,0,1900,SESSION_60D≥500,C
Google Play,CSUS|CSDE,22843|12983,2226,,YES|NO,https://play.google.com/store,7,0,3600,SESSION_60D≥500,C
Sherwin-Williams,CSUS,10876,2115,,YES,http://www.sherwin-williams.com/,3,0,49500,SESSION_60D≥500,C
It Cosmetics,CSUS,25846,2115,289.5777968,YES,https://www.itcosmetics.com/,4,2,1300,REVENUE_60D≥100,A
Fully.com,CSUS,27841,2105,,YES,https://www.fully.com/,3,0,90,SESSION_60D≥500,C
